,Database Generate time (methode_doubleDatabases) [s],Database Generate time (methode_singleDatabase) [s],Database size (methode_doubleDatabases) [KB],Database size (methode_singleDatabase) [KB],Query time-point (methode_doubleDatabases),Query time-point (methode_singleDatabase),Query time-range (methode_doubleDatabases),Query time-range (methode_singleDatabase),Query time-average (methode_doubleDatabases),Query time-average (methode_singleDatabase)
0,0,0,0,0,0,0,0,0,0,0
1200,11.169164896011353,23.281288385391235,1384.6689453125,67.9755859375,0.07567954063415527,0.14336800575256348,0.0,0.1275641918182373,0.01031041145324707,0.08108401298522949
2400,15.2015962600708,43.41044330596924,1384.6689453125,112.1005859375,0.004379749298095703,0.009148836135864258,0.002002716064453125,0.011561155319213867,0.002126455307006836,0.009902477264404297
3600,22.394311666488647,57.84992599487305,1416.6689453125,140.9150390625,0.001508951187133789,0.0057299137115478516,0.001003265380859375,0.0036492347717285156,0.0017266273498535156,0.007167339324951172
4800,28.60022211074829,66.84450006484985,1544.6689453125,164.2138671875,0.0016913414001464844,0.013077735900878906,0.0049457550048828125,0.01153421401977539,0.0015108585357666016,0.01472783088684082
6000,33.353548765182495,74.90519142150879,1496.6689453125,186.0244140625,0.0012784004211425781,0.03256487846374512,0.002007722854614258,0.0363314151763916,0.00044417381286621094,0.040650367736816406
7200,38.837931632995605,77.2272744178772,1688.6689453125,203.0966796875,0.002012491226196289,0.0010018348693847656,0.002457141876220703,0.005410909652709961,0.0010039806365966797,0.0073223114013671875
8400,44.75886511802673,80.12968969345093,2312.6689453125,217.1865234375,0.0016224384307861328,0.0010018348693847656,0.0020503997802734375,0.015339136123657227,0.0016121864318847656,0.01474142074584961
9600,49.84229230880737,83.27174544334412,2504.6689453125,227.3525390625,0.002001047134399414,0.0010020732879638672,0.0026397705078125,0.016431093215942383,0.001974344253540039,0.01664900779724121
10800,56.16536021232605,86.49950051307678,2648.6689453125,242.8623046875,0.0016415119171142578,0.001001596450805664,0.0010025501251220703,0.018810033798217773,0.0011026859283447266,0.01958441734313965
12000,62.41058349609375,86.01575493812561,2888.6689453125,252.2841796875,0.0012316703796386719,0.0010008811950683594,0.002181529998779297,0.01720881462097168,0.0017011165618896484,0.01787424087524414
