,Database Generate time (methode_doubleDatabases) [s],Database Generate time (methode_singleDatabase) [s],Database size (methode_doubleDatabases) [KB],Database size (methode_singleDatabase) [KB],Query time-point (methode_doubleDatabases),Query time-point (methode_singleDatabase),Query time-range (methode_doubleDatabases),Query time-range (methode_singleDatabase),Query time-average (methode_doubleDatabases),Query time-average (methode_singleDatabase)
0,0,0,0,0,0,0,0,0,0,0
40,46.77290463447571,6.221418142318726,5.2255859375,141.2294921875,0.07043170928955078,0.1194310188293457,0.002999544143676758,0.11108517646789551,0.0031108856201171875,0.06599116325378418
80,45.982173442840576,6.262364625930786,7.1083984375,143.9033203125,0.0030035972595214844,0.0010318756103515625,0.0030002593994140625,0.0015652179718017578,0.002000570297241211,0.0015549659729003906
120,47.69535946846008,7.103549480438232,7.9111328125,147.0478515625,0.0030028820037841797,0.0015027523040771484,0.00250244140625,0.0015423297882080078,0.002506732940673828,0.0010001659393310547
160,50.311187505722046,8.646257162094116,8.6689453125,149.1357421875,0.003021717071533203,0.0010051727294921875,0.0040132999420166016,0.002009153366088867,0.002000570297241211,0.001996755599975586
200,50.22085213661194,11.507537603378296,8.6689453125,151.1982421875,0.003200054168701172,0.0015273094177246094,0.0025031566619873047,0.002003908157348633,0.0031914710998535156,0.0009999275207519531
240,52.56450939178467,14.96833062171936,8.6689453125,153.1923828125,0.0025064945220947266,0.0010020732879638672,0.002536773681640625,0.0020003318786621094,0.002009153366088867,0.0009999275207519531
280,52.80805563926697,18.70394253730774,8.6689453125,154.2529296875,0.003000497817993164,0.0010781288146972656,0.0035033226013183594,0.0019989013671875,0.0020008087158203125,0.001001119613647461
320,54.155498027801514,19.007600784301758,8.6689453125,155.7685546875,0.0020465850830078125,0.0,0.002998828887939453,0.00099945068359375,0.0025017261505126953,0.0020003318786621094
360,55.42086338996887,13.314817190170288,8.6689453125,157.6064453125,0.002003192901611328,0.0013403892517089844,0.0029997825622558594,0.0,0.002003192901611328,0.0010056495666503906
400,55.27121114730835,13.282397747039795,8.6689453125,159.1962890625,0.0030019283294677734,0.001001119613647461,0.002502918243408203,0.0011415481567382812,0.002000093460083008,0.0009992122650146484
