,ot_all,ot_class,ot_proerty
0,AC-DC,AC-DC,EPnren
1,ACMeasurement,ACMeasurement,EPren
2,Ability,Ability,EnergyConversionSystemType
3,AbilityToHear,AbilityToHear,Owner
4,AbilityToRun,AbilityToRun,acceptedPaymentMethod
5,AbilityToSee,AbilityToSee,accessType
6,AbilityToTalk,AbilityToTalk,accommodationCapacity
7,AbilityToTouch,AbilityToTouch,accompanying
8,AbilityToUseStairs,AbilityToUseStairs,accomplishes
9,AbilityToWalk,AbilityToWalk,accuracy
10,ActivationDelayDurationDescription,ActivationDelayDurationDescription,acquaintanceOf
11,ActiveDurationDescription,ActiveDurationDescription,activeEnergyExport
12,ActiveDurationMax,ActiveDurationMax,activeEnergyImport
13,ActiveDurationMin,ActiveDurationMin,activePower
14,ActiveDurationSumMax,ActiveDurationSumMax,activeRepetitionNumber
15,ActiveDurationSumMin,ActiveDurationSumMin,activeSlotNumber
16,ActiveFireProtectionDevice,ActiveFireProtectionDevice,active_power
17,Activity,Activity,actsTo
18,ActivityImpact,ActivityImpact,actsUpon
19,ActivitySeverity,ActivitySeverity,additionalInformation
20,ActivityStatus,ActivityStatus,address
21,ActuatingFunction,ActuatingFunction,adjacentTo
22,Actuator,Actuator,age
23,AirToAirHeatRecovery,AirToAirHeatRecovery,allowedVehicleType
24,Air_flow_sensor,Air_flow_sensor,alt
25,Air_to_air_heat_recovery,Air_to_air_heat_recovery,alternateName
26,Alarm,Alarm,alternativesCount
27,AlertingDevice,AlertingDevice,alternativesGroupID
28,AlertingDeviceForImpairedPerson,AlertingDeviceForImpairedPerson,amperage
29,AlternativesGroup,AlternativesGroup,answer
30,AlzheimersDiseasedPerson,AlzheimersDiseasedPerson,apparentEnergyExport
31,Angle,Angle,apparentEnergyImport
32,AnticipationDurationDescription,AnticipationDurationDescription,apparentPower
33,Apartment,Apartment,application
34,AppartmentBuilding,AppartmentBuilding,area
35,Appliance,Appliance,areaServed
36,Area,Area,arrangement
37,AssemblyBuilding,AssemblyBuilding,assignedRoute
38,AssemblyPoint,AssemblyPoint,atTime
39,AssistedNavigation,AssistedNavigation,attendee
40,Assumption,Assumption,attendeeOf
41,Attic,Attic,availableCapacity
42,AudioDescription,AudioDescription,base
43,AudioVisualAppliance,AudioVisualAppliance,belongsTo
44,Audio_visual_appliance,Audio_visual_appliance,bladeAction
45,AutonomousMobilityPerson,AutonomousMobilityPerson,bladeEdge
46,AutonomousNavigation,AutonomousNavigation,bladeShape
47,AvailabilityStatus,AvailabilityStatus,buildingInfo
48,Available,Available,capacity
49,Balcony,Balcony,capacityControl
50,Basement,Basement,capacityControlType
51,Bathroom,Bathroom,capacityPeople
52,Battery,Battery,certificateCode
53,Battery_storage,Battery_storage,certificateObject
54,Bedroom,Bedroom,certifierCategory
55,BlindPerson,BlindPerson,certifierCode
56,Boiler,Boiler,changeNote
57,Building,Building,chargeType
58,BuildingDevice,BuildingDevice,cheapest
59,BuildingElement,BuildingElement,circuitType
60,BuildingEntrance,BuildingEntrance,citation
61,BuildingEquipment,BuildingEquipment,climaticZone
62,BuildingExit,BuildingExit,colorAppearance
63,BuildingObject,BuildingObject,colorRenderingIndex
64,BuildingParameter,BuildingParameter,comment
65,BuildingRelated,BuildingRelated,composes
66,BuildingSpace,BuildingSpace,connectedTo
67,BuildingSpatialStructure,BuildingSpatialStructure,connected_actuator
68,BuildingStorey,BuildingStorey,connected_sensor
69,BuildingThing,BuildingThing,consistsOf
70,BuildingType,BuildingType,consumesEnergy
71,Burner,Burner,consumesEnergyType
72,CO2Concentration,CO2Concentration,contactDetails
73,CO2_level,CO2_level,contactPoint
74,CT-VT,CT-VT,contain_of
75,Capacity,Capacity,contains
76,Certificate,Certificate,containsAssumption
77,Certifier,Certifier,containsConstant
78,Channel,Channel,containsEquation
79,ChemicalSpill,ChemicalSpill,containsU-value
80,Chiller,Chiller,containsVariable
81,CinemaBuilding,CinemaBuilding,context
82,Classroom,Classroom,contributor
83,Cleaning,Cleaning,controlStrategy
84,Close,Close,control_asset
85,CloseCommand,CloseCommand,controll_asset
86,CloseState,CloseState,controlled_asset
87,Coal,Coal,controlled_property
88,Coil,Coil,controlsProperty
89,CollaborativeNavigation,CollaborativeNavigation,cost
90,ColourBlindPerson,ColourBlindPerson,country
91,Comfort,Comfort,created
92,Command,Command,created_at
93,Commodity,Commodity,creator
94,CommunicationAppliance,CommunicationAppliance,current
95,Communication_appliance,Communication_appliance,currentUseThermal
96,Compound_unit,Compound_unit,current_level
97,Compressor,Compressor,dataProvider
98,Condenser,Condenser,data_provider
99,Congestion,Congestion,date
100,ControlDevice,ControlDevice,dateCreated
101,Controller,Controller,dateEnergyMeteringStarted
102,Convertor,Convertor,dateModified
103,CooledBeam,CooledBeam,dateObserved
104,CoolingTower,CoolingTower,dateObservedFrom
105,Corridor,Corridor,dateObservedTo
106,CorridorEntrance,CorridorEntrance,dateOfExpiration
107,CorridorExit,CorridorExit,dateOfInspection
108,CorridorSegment,CorridorSegment,dateOfIssue
109,Currency,Currency,definition
110,Current,Current,deliversEnergy
