,ot_alliri,ot_classiri,ot_proertyiri
0,http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2002/07/owl#Thing,http://energy.linkeddata.es/em-kpi/ontology#actsTo
1,http://energy.linkeddata.es/em-kpi/ontology#Assumption,http://energy.linkeddata.es/em-kpi/ontology#Assumption,http://energy.linkeddata.es/em-kpi/ontology#attendeeOf
2,http://energy.linkeddata.es/em-kpi/ontology#Battery,http://energy.linkeddata.es/em-kpi/ontology#Battery,http://energy.linkeddata.es/em-kpi/ontology#composes
3,http://energy.linkeddata.es/em-kpi/ontology#BuildingEquipment,http://energy.linkeddata.es/em-kpi/ontology#BuildingEquipment,http://energy.linkeddata.es/em-kpi/ontology#containsAssumption
4,http://energy.linkeddata.es/em-kpi/ontology#BuildingType,http://energy.linkeddata.es/em-kpi/ontology#BuildingType,http://energy.linkeddata.es/em-kpi/ontology#containsConstant
5,http://energy.linkeddata.es/em-kpi/ontology#CO2Concentration,http://energy.linkeddata.es/em-kpi/ontology#CO2Concentration,http://energy.linkeddata.es/em-kpi/ontology#containsVariable
6,http://energy.linkeddata.es/em-kpi/ontology#DHWSystem,http://energy.linkeddata.es/em-kpi/ontology#DHWSystem,http://energy.linkeddata.es/em-kpi/ontology#deliversEnergy
7,http://energy.linkeddata.es/em-kpi/ontology#DatumSource,http://energy.linkeddata.es/em-kpi/ontology#DatumSource,http://energy.linkeddata.es/em-kpi/ontology#deliversEnergyType
8,http://energy.linkeddata.es/em-kpi/ontology#DistributedEnergyResource,http://energy.linkeddata.es/em-kpi/ontology#DistributedEnergyResource,http://energy.linkeddata.es/em-kpi/ontology#energyDeliveredBy
9,http://energy.linkeddata.es/em-kpi/ontology#District,http://energy.linkeddata.es/em-kpi/ontology#District,http://energy.linkeddata.es/em-kpi/ontology#energyStoredBy
10,http://energy.linkeddata.es/em-kpi/ontology#Duct,http://energy.linkeddata.es/em-kpi/ontology#Duct,http://energy.linkeddata.es/em-kpi/ontology#energyTypeDeliveredBy
11,http://energy.linkeddata.es/em-kpi/ontology#ElectricVehicle,http://energy.linkeddata.es/em-kpi/ontology#ElectricVehicle,http://energy.linkeddata.es/em-kpi/ontology#energyTypeStoredBy
12,http://energy.linkeddata.es/em-kpi/ontology#EnergyConsumer,http://energy.linkeddata.es/em-kpi/ontology#EnergyConsumer,http://energy.linkeddata.es/em-kpi/ontology#eventOf
13,http://energy.linkeddata.es/em-kpi/ontology#EnergyDemandForecast,http://energy.linkeddata.es/em-kpi/ontology#EnergyDemandForecast,http://energy.linkeddata.es/em-kpi/ontology#experiences
14,http://energy.linkeddata.es/em-kpi/ontology#EnergyForecast,http://energy.linkeddata.es/em-kpi/ontology#EnergyForecast,http://energy.linkeddata.es/em-kpi/ontology#geoPointOf
15,http://energy.linkeddata.es/em-kpi/ontology#EnergyProduction,http://energy.linkeddata.es/em-kpi/ontology#EnergyProduction,http://energy.linkeddata.es/em-kpi/ontology#hasAirConditionedVolume
16,http://energy.linkeddata.es/em-kpi/ontology#EnergyProductionForecast,http://energy.linkeddata.es/em-kpi/ontology#EnergyProductionForecast,http://energy.linkeddata.es/em-kpi/ontology#hasArea
17,http://energy.linkeddata.es/em-kpi/ontology#EnergyStorage,http://energy.linkeddata.es/em-kpi/ontology#EnergyStorage,http://energy.linkeddata.es/em-kpi/ontology#hasAssociatedKPI
18,http://energy.linkeddata.es/em-kpi/ontology#EnergySupplyFromExternalGrid,http://energy.linkeddata.es/em-kpi/ontology#EnergySupplyFromExternalGrid,http://energy.linkeddata.es/em-kpi/ontology#hasAssociatedObject
19,http://energy.linkeddata.es/em-kpi/ontology#EnergySupplyFromSiteProduction,http://energy.linkeddata.es/em-kpi/ontology#EnergySupplyFromSiteProduction,http://energy.linkeddata.es/em-kpi/ontology#hasBehavior
20,http://energy.linkeddata.es/em-kpi/ontology#EnergySupplyFromStorage,http://energy.linkeddata.es/em-kpi/ontology#EnergySupplyFromStorage,http://energy.linkeddata.es/em-kpi/ontology#hasBuildingType
21,http://energy.linkeddata.es/em-kpi/ontology#EntityType,http://energy.linkeddata.es/em-kpi/ontology#EntityType,http://energy.linkeddata.es/em-kpi/ontology#hasCalculation
22,http://energy.linkeddata.es/em-kpi/ontology#Equation,http://energy.linkeddata.es/em-kpi/ontology#Equation,http://energy.linkeddata.es/em-kpi/ontology#hasCalculationComponent
23,http://energy.linkeddata.es/em-kpi/ontology#EquipmentContainer,http://energy.linkeddata.es/em-kpi/ontology#EquipmentContainer,http://energy.linkeddata.es/em-kpi/ontology#hasCalculationModel
24,http://energy.linkeddata.es/em-kpi/ontology#EquipmentType,http://energy.linkeddata.es/em-kpi/ontology#EquipmentType,http://energy.linkeddata.es/em-kpi/ontology#hasDeterminant
25,http://energy.linkeddata.es/em-kpi/ontology#ExtWall,http://energy.linkeddata.es/em-kpi/ontology#ExtWall,http://energy.linkeddata.es/em-kpi/ontology#hasDisaggregation
26,http://energy.linkeddata.es/em-kpi/ontology#ExtWindow,http://energy.linkeddata.es/em-kpi/ontology#ExtWindow,http://energy.linkeddata.es/em-kpi/ontology#hasEquipmentParameter
27,http://energy.linkeddata.es/em-kpi/ontology#Fan,http://energy.linkeddata.es/em-kpi/ontology#Fan,http://energy.linkeddata.es/em-kpi/ontology#hasEquipmentType
28,http://energy.linkeddata.es/em-kpi/ontology#FeedInTariff,http://energy.linkeddata.es/em-kpi/ontology#FeedInTariff,http://energy.linkeddata.es/em-kpi/ontology#hasEvaluationTimeStep
29,http://energy.linkeddata.es/em-kpi/ontology#GeneratingUnit,http://energy.linkeddata.es/em-kpi/ontology#GeneratingUnit,http://energy.linkeddata.es/em-kpi/ontology#hasExtWall
30,http://energy.linkeddata.es/em-kpi/ontology#GlobalHorizontalSolarIrradiance,http://energy.linkeddata.es/em-kpi/ontology#GlobalHorizontalSolarIrradiance,http://energy.linkeddata.es/em-kpi/ontology#hasExtWindow
31,http://energy.linkeddata.es/em-kpi/ontology#GlobalInclined41SolarIrradiance,http://energy.linkeddata.es/em-kpi/ontology#GlobalInclined41SolarIrradiance,http://energy.linkeddata.es/em-kpi/ontology#hasForecast
