DATE,TIMESTAMP,LOCATION,ENERGY_SOURCE,MEASURE,UNIT_OF_MEASURE,INTERVAL,VALUE
30.08.2021,30.08.2021 23:40,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2509
13.09.2021,13.09.2021 18:10,Atlantis waterpark,HVAC KN4,Extract temp,C,S,2652
15.09.2021,15.09.2021 06:10,Atlantis waterpark,HVAC KN5,load extract ventilator,%,S,80
22.08.2021,22.08.2021 10:31,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2349
12.08.2021,12.08.2021 03:29,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2121
11.09.2021,11.09.2021 13:10,Atlantis waterpark,HVAC KN8,Supply vent,N,S,
11.09.2021,11.09.2021 07:10,Atlantis waterpark,HVAC KN8,Supply temp,C,S,1424
29.08.2021,29.08.2021 02:08,Atlantis waterpark,HVAC KN5,load extract ventilator,%,S,80
16.08.2021,16.08.2021 14:36,Atlantis waterpark,HVAC KN6,Supply temp,C,S,3203
10.09.2021,10.09.2021 02:10,Atlantis waterpark,HVAC KN9,Extract vent,N,S,
26.08.2021,26.08.2021 10:50,Atlantis waterpark,HVAC KN4,Supply temp,C,S,1773
25.08.2021,25.08.2021 00:55,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2072
30.08.2021,30.08.2021 11:35,Atlantis waterpark,HVAC KN2,Supply temp,C,S,169
15.09.2021,15.09.2021 23:10,Atlantis waterpark,HVAC KN9,load supply ventilator,%,S,60
25.08.2021,25.08.2021 11:16,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2135
9.09.2021 ,9.09.2021 21:10,Atlantis waterpark,HVAC KN9,Extract temp,C,S,2912
10.08.2021,10.08.2021 06:49,Atlantis waterpark,HVAC KN3,Supply temp,C,S,1875
13.08.2021,13.08.2021 22:22,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2652
16.08.2021,16.08.2021 17:05,Atlantis waterpark,HVAC KN3,Supply temp,C,S,3283
9.09.2021 ,9.09.2021 22:10,Atlantis waterpark,HVAC KN2,freq converter,%,S,80
12.08.2021,12.08.2021 14:37,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2983
13.08.2021,13.08.2021 16:40,Atlantis waterpark,HVAC KN3,Supply temp,C,S,3351
30.08.2021,30.08.2021 18:41,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2643
16.08.2021,16.08.2021 17:00,Atlantis waterpark,HVAC KN6,Supply temp,C,S,3226
14.08.2021,14.08.2021 10:03,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2743
17.09.2021,17.09.2021 08:41,Atlantis waterpark,HVAC KN4,load supply ventilator,%,S,80
18.08.2021,18.08.2021 08:49,Atlantis waterpark,HVAC KN3,Supply temp,C,S,1804
27.08.2021,27.08.2021 06:39,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2506
14.08.2021,14.08.2021 02:46,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2361
16.08.2021,16.08.2021 20:10,Atlantis waterpark,HVAC KN2,Supply temp,C,S,3011
14.08.2021,14.08.2021 06:32,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2215
21.08.2021,21.08.2021 04:35,Atlantis waterpark,HVAC KN6,Supply temp,C,S,1775
25.08.2021,25.08.2021 05:12,Atlantis waterpark,HVAC KN5,Supply temp,C,S,1907
10.09.2021,10.09.2021 01:40,Atlantis waterpark,HVAC KN4,load supply ventilator,%,S,80
19.08.2021,19.08.2021 21:38,Atlantis waterpark,HVAC KN6,Extract temp,C,S,2709
31.08.2021,31.08.2021 12:54,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2566
25.08.2021,25.08.2021 12:37,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2241
18.09.2021,18.09.2021 19:11,Atlantis waterpark,HVAC KN9,Supply temp,C,S,2025
9.08.2021 ,9.08.2021 17:12,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2854
9.09.2021 ,9.09.2021 17:10,Atlantis waterpark,HVAC KN9,Supply vent,N,S,
16.08.2021,16.08.2021 16:45,Atlantis waterpark,HVAC KN2,Supply temp,C,S,3325
10.09.2021,10.09.2021 07:40,Atlantis waterpark,HVAC KN8,Extract vent,N,S,
18.08.2021,18.08.2021 13:44,Atlantis waterpark,HVAC KN2,Extract temp,C,S,296
16.09.2021,16.09.2021 02:11,Atlantis waterpark,HVAC KN2,Extract temp,C,S,26
13.08.2021,13.08.2021 15:05,Atlantis waterpark,HVAC KN4,Supply temp,C,S,3151
20.09.2021,20.09.2021 02:41,Atlantis waterpark,HVAC KN4,load extract ventilator,%,S,80
12.08.2021,12.08.2021 21:37,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2666
29.08.2021,29.08.2021 23:46,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2492
4.09.2021 ,4.09.2021 16:03,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2717
13.08.2021,13.08.2021 10:25,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2578
8.09.2021 ,8.09.2021 17:10,Atlantis waterpark,HVAC KN4,Extract temp,C,S,2586
6.09.2021 ,6.09.2021 14:47,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2689
14.08.2021,14.08.2021 19:08,Atlantis waterpark,HVAC KN5,Supply temp,C,S,3211
29.08.2021,29.08.2021 00:27,Atlantis waterpark,HVAC KN5,Extract temp,C,S,2566
21.09.2021,21.09.2021 01:11,Atlantis waterpark,HVAC KN5,Extract temp,C,S,2649
19.08.2021,19.08.2021 06:55,Atlantis waterpark,HVAC KN5,Extract temp,C,S,262
18.08.2021,18.08.2021 14:05,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2469
11.09.2021,11.09.2021 08:10,Atlantis waterpark,HVAC KN4,Extract temp,C,S,2481
9.09.2021 ,9.09.2021 10:40,Atlantis waterpark,HVAC KN5,Extract temp,C,S,2592
14.08.2021,14.08.2021 22:34,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2792
28.08.2021,28.08.2021 08:41,Atlantis waterpark,HVAC KN5,Supply temp,C,S,1676
25.08.2021,25.08.2021 09:46,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2041
24.08.2021,24.08.2021 03:18,Atlantis waterpark,HVAC KN3,Extract temp,C,S,2275
5.09.2021 ,5.09.2021 04:59,Atlantis waterpark,HVAC KN2,Supply temp,C,S,139
9.09.2021 ,9.09.2021 18:10,Atlantis waterpark,HVAC KN3,freq converter,%,S,80
13.09.2021,13.09.2021 17:10,Atlantis waterpark,HVAC KN9,Extract temp,C,S,3027
27.08.2021,27.08.2021 06:41,Atlantis waterpark,HVAC KN5,Supply temp,C,S,1701
11.08.2021,11.08.2021 10:38,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2538
16.09.2021,16.09.2021 00:41,Atlantis waterpark,HVAC KN5,load extract ventilator,%,S,80
10.08.2021,10.08.2021 02:52,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2161
24.08.2021,24.08.2021 19:07,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2823
3.09.2021 ,3.09.2021 13:02,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2318
14.09.2021,14.09.2021 17:40,Atlantis waterpark,HVAC KN9,Supply vent,N,S,
6.09.2021 ,6.09.2021 06:57,Atlantis waterpark,HVAC KN5,Extract temp,C,S,2592
5.09.2021 ,5.09.2021 00:45,Atlantis waterpark,HVAC KN3,Extract temp,C,S,2435
24.08.2021,24.08.2021 13:30,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2321
20.09.2021,20.09.2021 07:11,Atlantis waterpark,HVAC KN3,freq converter,%,S,80
16.08.2021,16.08.2021 15:38,Atlantis waterpark,HVAC KN3,Supply temp,C,S,332
31.08.2021,31.08.2021 12:27,Atlantis waterpark,HVAC KN5,Supply temp,C,S,1984
7.09.2021 ,7.09.2021 05:24,Atlantis waterpark,HVAC KN2,Supply temp,C,S,1304
17.08.2021,17.08.2021 21:34,Atlantis waterpark,HVAC KN3,Supply temp,C,S,201
22.08.2021,22.08.2021 17:50,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2866
17.09.2021,17.09.2021 17:41,Atlantis waterpark,HVAC KN8,Supply temp,C,S,1922
19.09.2021,19.09.2021 12:03,Atlantis waterpark,HVAC KN2,Extract vent,N,S,1
31.08.2021,31.08.2021 21:20,Atlantis waterpark,HVAC KN2,Supply temp,C,S,1981
21.09.2021,21.09.2021 12:41,Atlantis waterpark,HVAC KN4,Extract temp,C,S,2475
