,Unnamed: 0,Dataname,Ontologyname,score
0,0,DATE,AC-DC,0.424
1,1,DATE,ACMeasurement,0.369
2,2,DATE,Ability,0.615
3,3,DATE,AbilityToHear,0.447
4,4,DATE,AbilityToRun,0.482
5,5,DATE,AbilityToSee,0.488
6,6,DATE,AbilityToTalk,0.431
7,7,DATE,AbilityToTouch,0.461
8,8,DATE,AbilityToUseStairs,0.418
9,9,DATE,AbilityToWalk,0.467
10,10,DATE,ActivationDelayDurationDescription,0.452
11,11,DATE,ActiveDurationDescription,0.567
12,12,DATE,ActiveDurationMax,0.455
13,13,DATE,ActiveDurationMin,0.514
14,14,DATE,ActiveDurationSumMax,0.369
15,15,DATE,ActiveDurationSumMin,0.413
16,16,DATE,ActiveFireProtectionDevice,0.394
17,17,DATE,Activity,0.615
18,18,DATE,ActivityImpact,0.503
19,19,DATE,ActivitySeverity,0.528
20,20,DATE,ActivityStatus,0.533
21,21,DATE,ActuatingFunction,0.42
22,22,DATE,Actuator,0.361
23,23,DATE,AirToAirHeatRecovery,0.354
24,24,DATE,Air_flow_sensor,0.362
25,25,DATE,Air_to_air_heat_recovery,0.354
26,26,DATE,Alarm,0.548
27,27,DATE,AlertingDevice,0.404
28,28,DATE,AlertingDeviceForImpairedPerson,0.269
29,29,DATE,AlternativesGroup,0.535
30,30,DATE,AlzheimersDiseasedPerson,0.346
31,31,DATE,Angle,0.724
32,32,DATE,AnticipationDurationDescription,0.561
33,33,DATE,Apartment,0.615
34,34,DATE,AppartmentBuilding,0.339
35,35,DATE,Appliance,0.357
36,36,DATE,Area,0.691
37,37,DATE,AssemblyBuilding,0.489
38,38,DATE,AssemblyPoint,0.477
39,39,DATE,AssistedNavigation,0.423
40,40,DATE,Assumption,0.661
41,41,DATE,Attic,0.594
42,42,DATE,AudioDescription,0.5
43,43,DATE,AudioVisualAppliance,0.228
44,44,DATE,Audio_visual_appliance,0.228
45,45,DATE,AutonomousMobilityPerson,0.387
46,46,DATE,AutonomousNavigation,0.405
47,47,DATE,AvailabilityStatus,0.55
48,48,DATE,Available,0.642
49,49,DATE,Balcony,0.581
50,50,DATE,Basement,0.635
51,51,DATE,Bathroom,0.595
52,52,DATE,Battery,0.624
53,53,DATE,Battery_storage,0.47
54,54,DATE,Bedroom,0.586
55,55,DATE,BlindPerson,0.434
56,56,DATE,Boiler,0.618
57,57,DATE,Building,0.696
58,58,DATE,BuildingDevice,0.58
59,59,DATE,BuildingElement,0.55
60,60,DATE,BuildingEntrance,0.524
61,61,DATE,BuildingEquipment,0.532
62,62,DATE,BuildingExit,0.534
63,63,DATE,BuildingObject,0.553
64,64,DATE,BuildingParameter,0.57
